#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
252,Justin Champagnie,TOR,5,18.4,7.4,2.8,6,46.7,0.6,2.2,27.3,1.2,1.4,85.7,2,3.8,5.8,1.4,1.6,0.8,1.4,12.2,2021-21
253,Kevin Knox II,ATL,3,12,7.3,2.7,5.7,47.1,2,4.3,46.2,0,0,0,0,3,3,0.7,0,0,0,8,2021-21
254,Caleb Martin,MIA,4,17.5,7.3,2.8,7.5,36.7,0.8,2.5,30,1,1.5,66.7,0.5,1.8,2.3,2.5,0.5,1,0.5,7.8,2021-21
254,Isaiah Jackson,IND,4,14.3,7.3,3.3,4.8,68.4,0.5,1.5,33.3,0.3,0.5,50,1.5,2.3,3.8,0.5,1.3,1,1,11,2021-21
256,Omer Yurtseven,MIA,5,12.8,7.2,3,5.2,57.7,0.4,0.8,50,0.8,1.2,66.7,3.6,3,6.6,1,0.6,0.4,1.6,11.6,2021-21
257,Gordon Hayward,CHA,1,17,7,3,7,42.9,1,2,50,0,1,0,2,1,3,2,0,0,2,5,2021-21
257,Grant Riller,PHI,1,14,7,3,5,60,0,1,0,1,2,50,0,0,0,0,0,1,2,3,2021-21
257,Ivica Zubac,LAC,3,17.3,7,2.7,4.7,57.1,0,0,0,1.7,2,83.3,1.3,4.7,6,1,0.7,1.3,0.7,13,2021-21
257,Jabari Parker,BOS,3,17.7,7,2.7,6.7,40,1,2,50,0.7,0.7,100,0,1.3,1.3,1.3,1.3,0.3,0.7,6.7,2021-21
257,Jalen McDaniels,CHA,4,27.3,7,2.8,9.3,29.7,0.8,4,18.8,0.8,0.8,100,0.8,5.3,6,0.8,0.8,0.3,1,7.3,2021-21
257,Jay Scrubb,LAC,4,17.3,7,3.3,6,54.2,0.3,1.8,14.3,0.3,0.5,50,0,1,1,0.5,1,0.5,1.3,5.8,2021-21
257,Josh Richardson,SAS,3,21.3,7,2.7,7.3,36.4,0.7,3.3,20,1,1.3,75,0,2.3,2.3,1.7,1,0.7,0.7,7,2021-21
257,Shaq Buchanan,MEM,1,12,7,3,10,30,0,3,0,1,2,50,1,3,4,1,0,0,1,3,2021-21
257,Sterling Brown,DAL,4,17,7,2.5,6.3,40,1.8,3.8,46.7,0.3,0.5,50,0.8,3.3,4,1.8,0.5,0,1,8.3,2021-21
257,Trey Lyles,SAC,4,18.3,7,2.5,6.3,40,1,3.3,30.8,1,1.3,80,1,3.8,4.8,1.5,0.8,0.3,1,9.3,2021-21
