#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
404,Marcus Sasser,DET,5,13.6,4.0,1.4,4.2,33.3,0.4,2.0,20.0,0.8,0.8,100,0.0,0.6,0.6,3.2,0.6,0.0,1.0, 4.6
404,Moritz Wagner,ORL,3,13.3,4.0,1.0,2.3,42.9,0.3,0.7,50.0,1.7,2.0,83.3,0.0,2.3,2.3,1.3,0.7,0.0,2.0, 4.7
404,Richaun Holmes,WAS,3,9.7,4.0,1.7,2.7,62.5,0.0,0.0,0.0,0.7,1.3,50.0,1.7,2.3,4.0,0.3,0.3,0.0,0.0, 7.0
404,TyTy Washington Jr.,PHX,4,10.8,4.0,1.5,3.8,40.0,0.3,1.0,25.0,0.8,1.0,75.0,0.5,1.0,1.5,0.5,0.0,0.3,1.0, 2.8
404,Vlatko Čančar,DEN,5,13.4,4.0,1.4,3.4,41.2,0.6,1.6,37.5,0.6,0.8,75.0,0.8,1.2,2.0,1.6,0.0,0.0,1.4, 4.0
427,Blake Wesley,SAS,5,19.4,3.8,1.6,4.2,38.1,0.2,1.4,14.3,0.4,0.6,66.7,0.4,3.2,3.6,5.0,1.0,0.2,1.2, 9.6
427,Davion Mitchell,TOR,5,24.2,3.8,1.4,4.2,33.3,0.6,2.4,25.0,0.4,1.2,33.3,0.4,2.2,2.6,5.6,0.6,0.0,0.8, 8.2
429,AJ Green,MIL,4,15.8,3.8,1.0,3.8,26.7,1.0,3.8,26.7,0.8,0.8,100,0.3,1.5,1.8,1.5,0.3,0.0,0.5, 4.0
429,Armando Bacot,MEM,4,9.8,3.8,1.0,2.5,40.0,0.0,1.0,0.0,1.8,3.0,58.3,0.8,2.0,2.8,0.3,0.0,0.3,1.3, 3.0
429,Damion Lee,PHX,4,10.3,3.8,1.5,5.3,28.6,0.8,3.0,25.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.3,0.0,0.5, 1.3
429,Malachi Flynn,SAS,4,6.3,3.8,1.0,2.3,44.4,0.3,1.0,25.0,1.5,1.8,85.7,0.0,0.5,0.5,1.3,1.0,0.3,0.5, 4.8
