#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
127,Dorian Finney-Smith,BKN,15,29.0,10.7,3.8,8.1,46.7,2.3,5.5,42.2,0.7,1.2,61.1,1.8,2.5,4.3,1.8,0.9,0.5,1.1, 12.3
128,Chris Boucher,TOR,19,18.6,10.6,3.9,8.0,48.7,1.2,3.8,30.1,1.7,2.3,74.4,1.3,3.3,4.6,0.5,0.6,0.8,0.6, 11.8
129,Chris Paul,SAS,19,28.4,10.6,3.6,7.8,45.6,1.9,5.1,37.1,1.5,1.5,100,0.4,3.2,3.6,8.2,1.4,0.2,1.8, 17.8
130,Derrick Jones Jr.,LAC,20,25.6,10.5,4.0,7.9,50.6,1.3,3.0,43.3,1.2,1.4,85.7,1.4,2.3,3.7,1.0,1.3,0.2,1.1, 11.5
130,Rudy Gobert,MIN,18,33.9,10.5,3.9,5.9,65.4,0.0,0.0,0.0,2.7,3.4,80.3,3.4,7.7,11.1,1.9,0.4,1.6,1.6, 21.2
132,Onyeka Okongwu,ATL,17,23.8,10.5,4.1,7.9,52.2,0.4,1.8,19.4,1.9,2.4,78.0,2.2,4.2,6.4,1.6,0.6,0.8,0.9, 14.8
133,Miles McBride,NYK,13,25.6,10.5,3.8,8.5,45.0,1.9,5.0,38.5,0.8,1.0,84.6,0.5,2.1,2.5,2.5,1.1,0.3,0.9, 11.2
134,Tim Hardaway Jr.,DET,17,28.0,10.4,3.4,8.1,41.6,2.1,5.5,37.2,1.6,1.9,87.5,0.2,1.5,1.7,1.9,0.3,0.0,0.6, 8.8
135,Grant Williams,CHA,16,29.9,10.4,3.4,7.7,43.9,1.7,4.6,36.5,1.9,2.3,83.8,1.1,4.0,5.1,2.3,1.1,0.8,1.8, 13.3
136,Grayson Allen,PHX,14,22.4,10.2,3.3,8.5,38.7,2.2,6.4,34.4,1.4,1.9,74.1,0.5,2.1,2.6,1.1,0.6,0.4,1.2, 7.9
137,Jaden McDaniels,MIN,18,30.8,10.2,4.1,9.4,43.2,1.2,4.1,28.8,0.9,1.3,66.7,1.2,2.6,3.8,1.8,1.2,0.8,1.1, 10.9
138,Al Horford,BOS,14,27.9,10.1,3.6,7.4,49.5,2.4,5.3,44.6,0.4,0.4,100,1.0,4.4,5.4,2.4,0.9,0.9,1.0, 14.9
139,Luguentz Dort,OKC,18,29.6,10.1,3.3,8.1,41.1,2.1,5.3,38.9,1.3,1.6,82.8,1.4,3.4,4.8,1.7,1.2,0.8,0.7, 12.8
140,Patrick Williams,CHI,15,28.9,9.9,3.3,8.9,37.6,1.9,4.7,39.4,1.4,1.7,84.0,1.1,3.9,5.0,2.3,1.0,0.5,1.9, 11.1
141,Guerschon Yabusele,PHI,17,23.4,9.9,3.6,7.4,48.4,1.8,4.1,43.5,0.9,1.6,59.3,1.8,3.5,5.4,1.8,0.7,0.5,1.3, 12.5
142,Caleb Martin,PHI,16,32.1,9.9,3.4,8.2,41.2,0.9,2.9,30.4,2.3,3.3,67.9,1.6,3.4,4.9,2.5,1.1,0.6,2.0, 11.1
143,Jay Huff,MEM,19,15.3,9.7,3.4,6.2,54.7,1.7,3.8,45.2,1.3,1.6,77.4,0.5,2.0,2.5,0.9,0.3,1.5,0.6, 11.2
144,Peyton Watson,DEN,17,25.9,9.7,3.6,7.6,47.3,0.9,2.5,34.9,1.6,2.1,77.8,1.0,2.5,3.5,1.2,0.8,1.0,0.8, 10.9
145,T.J. McConnell,IND,18,18.6,9.7,4.6,8.2,55.4,0.1,0.3,20.0,0.5,0.7,69.2,0.6,2.1,2.7,4.1,1.4,0.3,1.6, 12.6
